mp-1001023,0
mp-1025409,1
mp-1038921,0
mp-1039056,1
mp-1071777,0
mp-1073232,1
mp-1073263,0
mp-1073523,1
mp-1074039,0
mp-1074468,1
mp-1074549,0
mp-1074930,1
mp-1075152,0
mp-1075190,1
mp-1075403,0
mp-1080635,1
mp-1094188,0
mp-1094195,1
mp-1094380,0
mp-1094477,1
mp-1094556,0
mp-1094588,1
mp-1094612,0
mp-1094647,1
mp-1094683,0
mp-1094714,1
mp-1094909,0
mp-1094980,1
mp-1096864,0
mp-1097016,1
mp-1100786,0
mp-1101229,1
mp-1147768,0
mp-1179088,1
mp-1180046,0
mp-1181437,1
mp-1183075,0
mp-1183200,1
mp-1183248,0
mp-1183575,1
mp-1183687,0
mp-1183751,1
mp-1184010,0
mp-1184149,1
mp-1184825,0
mp-1184881,1
mp-1185300,0
mp-1185629,1
mp-1185779,0
mp-1185816,1
mp-1186084,0
mp-1186280,1
mp-1186769,0
mp-1186922,1
mp-1187254,0
mp-1187387,1
mp-1187668,0
mp-1208526,1
mp-1214421,0
mp-1214488,1
mp-1215884,0
mp-1217152,1
mp-1217706,0
mp-1221567,1
mp-1224793,0
mp-1228687,1
mp-1244885,0
mp-1245325,1
mp-1259056,0
mp-1262925,1
mp-531574,0
mp-567510,1
mp-684680,0
mp-684704,1
mp-754806,0
mp-864935,1
mp-865611,0
mp-971794,1
mp-973777,0
mp-973881,1
mp-974467,0
mp-974949,1
mp-974970,0
mp-975591,1
mp-975612,0
mp-976115,1
mp-976891,0
mp-978282,1
mp-978533,0
mp-981251,1
mvc-11980,0
mvc-8472,1
mp-1013736,0
mp-1039180,1
mp-1039439,0
mp-1073477,1
mp-1074288,0
mp-1074405,1
mp-1074792,0
mp-1080203,1
mp-1080371,0
mp-1094216,1
mp-1094318,0
mp-1094384,1
mp-1094418,0
mp-1094458,1
mp-1094796,0
mp-1094878,1
mp-1096917,0
mp-1182980,1
mp-1183655,0
mp-1184862,1
mp-1184932,0
mp-1185155,1
mp-1185585,0
mp-1185586,1
mp-1185634,0
mp-1185810,1
mp-1185815,0
mp-1185920,1
mp-1185947,0
mp-1185955,1
mp-1185967,0
mp-1186076,1
mp-1186079,0
mp-1186117,1
mp-1186337,0
mp-1186418,1
mp-1187110,0
mp-1187176,1
mp-1187281,0
mp-1187410,1
mp-1187741,0
mp-1187884,1
mp-1187953,0
mp-1205955,1
mp-1206423,0
mp-1207826,1
mp-1214403,0
mp-1215634,1
mp-1217189,0
mp-1217408,1
mp-1219339,0
mp-1219517,1
mp-1219744,0
mp-1220184,1
mp-1220312,0
mp-1221420,1
mp-1221693,0
mp-1224300,1
mp-1225226,0
mp-1225239,1
mp-1225751,0
mp-1244937,1
mp-1245078,0
mp-1245329,1
mp-1255599,0
mp-31184,1
mp-32578,0
mp-510417,1
mp-557719,0
mp-600045,1
mp-600063,0
mp-675332,1
mp-684623,0
mp-705563,1
mp-764417,0
mp-766789,1
mp-768262,0
mp-775906,1
mp-779582,0
mp-862820,1
mp-971684,0
mp-973342,1
mp-973545,0
mp-976111,1
mp-976930,0
mp-977366,1
mp-978546,0
mp-978919,1
mp-982016,0
mp-983594,1
mvc-11548,0
mvc-4323,1
mvc-5746,0
mp-1022722,1
mp-1038837,0
mp-1039124,1
mp-1067644,0
mp-1071565,1
mp-1073702,0
mp-1073789,1
mp-1074063,0
mp-1074108,1
mp-1074307,0
mp-1074685,1
mp-1080320,0
mp-1084851,1
mp-1094129,0
mp-1094199,1
mp-1094203,0
mp-1094254,1
mp-1094268,0
mp-1094332,1
mp-1094363,0
mp-1094366,1
mp-1094409,0
mp-1094453,1
mp-1094549,0
mp-1094583,1
mp-1094589,0
mp-1094606,1
mp-1094697,0
mp-1096769,1
mp-1098707,0
mp-1100784,1
mp-1100787,0
mp-1120780,1
mp-1173084,0
mp-1179768,1
mp-1181272,0
mp-1183162,1
mp-1183271,0
mp-1183361,1
mp-1183865,0
mp-1183892,1
mp-1184031,0
mp-1185289,1
mp-1185296,0
mp-1185606,1
mp-1185788,0
mp-1185798,1
mp-1186017,0
mp-1186057,1
mp-1186523,0
mp-1187035,1
mp-1206633,0
mp-1206821,1
mp-1208304,0
mp-1208655,1
mp-1212332,0
mp-1212427,1
mp-1213762,0
mp-1214901,1
mp-1218949,0
mp-1221945,1
mp-1223633,0
mp-1223990,1
mp-1225745,0
mp-1226024,1
mp-1226207,0
mp-1226960,1
mp-1244906,0
mp-1245099,1
mp-1245188,0
mp-1245274,1
mp-2409,0
mp-32580,1
mp-32669,0
mp-32899,1
mp-568233,0
mp-568908,1
